Han: Mandarin
| Copyright (c) 2014, Duxbury Systems, Inc.  All Rights Reserved
*34
U+3400: {U+0020}qi{U+016B} | 㐀 ->  qiū
U+3401: {U+0020}ti{U+00E0}n | 㐁 ->  tiàn
U+3404: {U+0020}ku{U+00E0} | 㐄 ->  kuà
U+3405: {U+0020}w{U+01D4} | 㐅 ->  wǔ
U+3406: {U+0020}y{U+01D0}n | 㐆 ->  yǐn
U+340C: {U+0020}t{U+0101} | 㐌 ->  tā
U+3416: {U+0020}y{U+00E8} | 㐖 ->  yè
U+341C: {U+0020}ch{U+00F3}u | 㐜 ->  chóu
U+3421: {U+0020}nu{U+00F2} | 㐡 ->  nuò
U+3424: {U+0020}qi{U+00FA} | 㐤 ->  qiú
U+3428: {U+0020}x{U+00F9} | 㐨 ->  xù
U+3429: {U+0020}x{U+00ED}ng | 㐩 ->  xíng
U+342B: {U+0020}xi{U+014D}ng | 㐫 ->  xiōng
U+342C: {U+0020}li{U+00FA} | 㐬 ->  liú
U+342D: {U+0020}l{U+01D0}n | 㐭 ->  lǐn
U+342E: {U+0020}xi{U+0101}ng | 㐮 ->  xiāng
U+342F: {U+0020}y{U+014D}ng | 㐯 ->  yōng
U+3430: {U+0020}x{U+00EC}n | 㐰 ->  xìn
U+3431: {U+0020}zh{U+011B}n | 㐱 ->  zhěn
U+3432: {U+0020}d{U+00E0}i | 㐲 ->  dài
U+3433: {U+0020}w{U+00F9} | 㐳 ->  wù
U+3434: {U+0020}p{U+0101}n | 㐴 ->  pān
U+3437: {U+0020}m{U+01CE} | 㐷 ->  mǎ
U+3438: {U+0020}qi{U+00E0}n | 㐸 ->  qiàn
U+3439: {U+0020}y{U+00EC} | 㐹 ->  yì
U+343A: {U+0020}zh{U+00F2}ng | 㐺 ->  zhòng
U+343B: {U+0020}n{U+00E8}i | 㐻 ->  nèi
U+343C: {U+0020}ch{U+00E8}ng | 㐼 ->  chèng
U+343D: {U+0020}f{U+0113}ng | 㐽 ->  fēng
U+3441: {U+0020}zhu{U+014D} | 㑁 ->  zhuō
U+3442: {U+0020}f{U+01CE}ng | 㑂 ->  fǎng
U+3443: {U+0020}a{U+01D2} | 㑃 ->  aǒ
U+3444: {U+0020}w{U+01D4} | 㑄 ->  wǔ
U+3445: {U+0020}zu{U+00F2} | 㑅 ->  zuò
U+3447: {U+0020}zh{U+00F2}u | 㑇 ->  zhòu
U+3448: {U+0020}d{U+00F2}ng | 㑈 ->  dòng
U+3449: {U+0020}s{U+00F9} | 㑉 ->  sù
U+344A: {U+0020}y{U+00EC} | 㑊 ->  yì
U+344B: {U+0020}qi{U+00F3}ng | 㑋 ->  qióng
U+344C: {U+0020}ku{U+0101}ng | 㑌 ->  kuāng
U+344D: {U+0020}l{U+00E8}i | 㑍 ->  lèi
U+344E: {U+0020}n{U+01CE}o | 㑎 ->  nǎo
U+344F: {U+0020}zh{U+00F9} | 㑏 ->  zhù
U+3450: {U+0020}sh{U+016B} | 㑐 ->  shū
U+3454: {U+0020}x{U+01D4} | 㑔 ->  xǔ
U+3457: {U+0020}sh{U+0113}n | 㑗 ->  shēn
U+3458: {U+0020}ji{U+00E8} | 㑘 ->  jiè
U+3459: {U+0020}di{U+00E9} | 㑙 ->  dié
U+345A: {U+0020}nu{U+00F3} | 㑚 ->  nuó
U+345B: {U+0020}s{U+00F9} | 㑛 ->  sù
U+345C: {U+0020}y{U+00EC} | 㑜 ->  yì
U+345D: {U+0020}l{U+00F2}ng | 㑝 ->  lòng
U+345E: {U+0020}y{U+00EC}ng | 㑞 ->  yìng
U+345F: {U+0020}b{U+011B}ng | 㑟 ->  běng
U+3463: {U+0020}l{U+00E1}n | 㑣 ->  lán
U+3464: {U+0020}mi{U+00E1}o | 㑤 ->  miáo
