Han: Korean
| Copyright (c) 2014, Duxbury Systems, Inc.  All Rights Reserved
*4e
U+4E00: {U+0020}{U+110B}{U+1175}{U+11AF} | 一 ->  일
U+4E01: {U+0020}{U+110C}{U+1165}{U+11BC} | 丁 ->  정
U+4E03: {U+0020}{U+110E}{U+1175}{U+11AF} | 七 ->  칠
U+4E07: {U+0020}{U+1106}{U+1161}{U+11AB} | 万 ->  만
U+4E08: {U+0020}{U+110C}{U+1161}{U+11BC} | 丈 ->  장
U+4E09: {U+0020}{U+1109}{U+1161}{U+11B7} | 三 ->  삼
U+4E0A: {U+0020}{U+1109}{U+1161}{U+11BC} | 上 ->  상
U+4E0B: {U+0020}{U+1112}{U+1161} | 下 ->  하
U+4E0D: {U+0020}{U+1107}{U+116E} {U+1107}{U+116E}{U+11AF} | 不 ->  부 불
U+4E11: {U+0020}{U+110E}{U+116E}{U+11A8} | 丑 ->  축
U+4E14: {U+0020}{U+110E}{U+1161} | 且 ->  차
U+4E15: {U+0020}{U+1107}{U+1175} | 丕 ->  비
U+4E16: {U+0020}{U+1109}{U+1166} | 世 ->  세
U+4E18: {U+0020}{U+1100}{U+116E} | 丘 ->  구
U+4E19: {U+0020}{U+1107}{U+1167}{U+11BC} | 丙 ->  병
U+4E1E: {U+0020}{U+1109}{U+1173}{U+11BC} | 丞 ->  승
U+4E1F: {U+0020}{U+110C}{U+116E} | 丟 ->  주
U+4E26: {U+0020}{U+1107}{U+1167}{U+11BC} | 並 ->  병
U+4E2B: {U+0020}{U+110B}{U+1161} | 丫 ->  아
U+4E2D: {U+0020}{U+110C}{U+116E}{U+11BC} | 中 ->  중
U+4E30: {U+0020}{U+1107}{U+1169}{U+11BC} | 丰 ->  봉
U+4E31: {U+0020}{U+1100}{U+116A}{U+11AB} | 丱 ->  관
U+4E32: {U+0020}{U+1100}{U+1169}{U+11BD} {U+1100}{U+116A}{U+11AB} | 串 ->  곶 관
U+4E38: {U+0020}{U+1112}{U+116A}{U+11AB} | 丸 ->  환
U+4E39: {U+0020}{U+1103}{U+1161}{U+11AB} {U+1105}{U+1161}{U+11AB} | 丹 ->  단 란
U+4E3B: {U+0020}{U+110C}{U+116E} | 主 ->  주
U+4E42: {U+0020}{U+110B}{U+1168} | 乂 ->  예
U+4E43: {U+0020}{U+1102}{U+1162} | 乃 ->  내
U+4E45: {U+0020}{U+1100}{U+116E} | 久 ->  구
U+4E4B: {U+0020}{U+110C}{U+1175} | 之 ->  지
U+4E4D: {U+0020}{U+1109}{U+1161} | 乍 ->  사
U+4E4E: {U+0020}{U+1112}{U+1169} | 乎 ->  호
U+4E4F: {U+0020}{U+1111}{U+1175}{U+11B8} | 乏 ->  핍
U+4E56: {U+0020}{U+1100}{U+116C} | 乖 ->  괴
U+4E58: {U+0020}{U+1109}{U+1173}{U+11BC} | 乘 ->  승
U+4E59: {U+0020}{U+110B}{U+1173}{U+11AF} | 乙 ->  을
U+4E5D: {U+0020}{U+1100}{U+116E} | 九 ->  구
U+4E5E: {U+0020}{U+1100}{U+1165}{U+11AF} | 乞 ->  걸
U+4E5F: {U+0020}{U+110B}{U+1163} | 也 ->  야
U+4E67: {U+0020}{U+1103}{U+116E}{U+11AF} | 乧 ->  둘
U+4E6B: {U+0020}{U+1100}{U+1161}{U+11AF} | 乫 ->  갈
U+4E6C: {U+0020}{U+1100}{U+1165}{U+11AF} | 乬 ->  걸
