Han: Yue
| Copyright (c) 2014, Duxbury Systems, Inc.  All Rights Reserved
*34
U+3400: jau{U+00B9} | 㐀 -> jau¹
U+3401: dou{U+2076} | 㐁 -> dou⁶
U+3402: cat{U+00B9} | 㐂 -> cat¹
U+3403: zim{U+00B9} | 㐃 -> zim¹
U+3404: kwaa{U+00B9} | 㐄 -> kwaa¹
U+3405: ng{U+2075} | 㐅 -> ng⁵
U+3406: ji{U+00B9} | 㐆 -> ji¹
U+3407: gau{U+00B2} | 㐇 -> gau²
U+3408: jap{U+2076} | 㐈 -> jap⁶
U+3409: ding{U+00B9} | 㐉 -> ding¹
U+340A: si{U+2076} | 㐊 -> si⁶
U+340B: tou{U+00B2} | 㐋 -> tou²
U+340C: ji{U+2074} | 㐌 -> ji⁴
U+340D: zaau{U+00B2} | 㐍 -> zaau²
U+340E: man{U+2074} | 㐎 -> man⁴
U+340F: ng{U+2075} | 㐏 -> ng⁵
U+3410: nou{U+2074} | 㐐 -> nou⁴
U+3411: dung{U+00B9} | 㐑 -> dung¹
U+3412: ziu{U+2076} | 㐒 -> ziu⁶
U+3413: ho{U+00B2} | 㐓 -> ho²
U+3414: hang{U+00B9} | 㐔 -> hang¹
U+3415: jau{U+2074} | 㐕 -> jau⁴
U+3416: kit{U+00B3} | 㐖 -> kit³
U+3417: lou{U+2075} | 㐗 -> lou⁵
U+3418: mai{U+2075} | 㐘 -> mai⁵
U+3419: dau{U+2076} | 㐙 -> dau⁶
U+341A: ng{U+2074} | 㐚 -> ng⁴
U+341B: jau{U+2076} | 㐛 -> jau⁶
U+341C: sau{U+2074} | 㐜 -> sau⁴
U+341D: keoi{U+00B9} | 㐝 -> keoi¹
U+341E: kei{U+2074} | 㐞 -> kei⁴
U+341F: fei{U+00B9} | 㐟 -> fei¹
U+3420: jyu{U+2075} | 㐠 -> jyu⁵
U+3421: no{U+2076} | 㐡 -> no⁶
U+3422: fau{U+2074} | 㐢 -> fau⁴
U+3423: fu{U+00B3} | 㐣 -> fu³
U+3424: daan{U+00B9} | 㐤 -> daan¹
U+3425: co{U+2074} | 㐥 -> co⁴
U+3426: geoi{U+00B2} | 㐦 -> geoi²
U+3427: coi{U+2074} | 㐧 -> coi⁴
U+3428: zeoi{U+2076} | 㐨 -> zeoi⁶
U+3429: jing{U+2074} | 㐩 -> jing⁴
U+342A: si{U+00B2} | 㐪 -> si²
U+342B: hung{U+00B9} | 㐫 -> hung¹
U+342C: lau{U+2074} | 㐬 -> lau⁴
U+342D: lam{U+2075} | 㐭 -> lam⁵
U+342E: soeng{U+00B9} | 㐮 -> soeng¹
U+342F: jung{U+2074} | 㐯 -> jung⁴
U+3430: seon{U+00B3} | 㐰 -> seon³
U+3431: can{U+00B2} | 㐱 -> can²
U+3432: daai{U+2076} | 㐲 -> daai⁶
U+3433: ngat{U+2076} | 㐳 -> ngat⁶
U+3434: paan{U+00B9} | 㐴 -> paan¹
U+3435: jyu{U+2074} | 㐵 -> jyu⁴
U+3436: ci{U+2075} | 㐶 -> ci⁵
U+3437: maa{U+2076} | 㐷 -> maa⁶
U+3438: him{U+00B3} | 㐸 -> him³
U+3439: ngat{U+2076} | 㐹 -> ngat⁶
U+343A: jam{U+2074} | 㐺 -> jam⁴
U+343B: noi{U+2076} | 㐻 -> noi⁶
U+343C: cing{U+00B2} | 㐼 -> cing²
U+343D: fung{U+00B9} | 㐽 -> fung¹
U+343E: wun{U+2076} | 㐾 -> wun⁶
U+343F: sau{U+00B2} | 㐿 -> sau²
U+3440: taai{U+00B3} | 㑀 -> taai³
U+3441: zeot{U+00B9} | 㑁 -> zeot¹
U+3442: fong{U+00B2} | 㑂 -> fong²
U+3443: aau{U+00B2} | 㑃 -> aau²
U+3444: mou{U+2075} | 㑄 -> mou⁵
U+3445: zok{U+00B3} | 㑅 -> zok³
U+3446: hing{U+00B9} | 㑆 -> hing¹
U+3447: zau{U+00B3} | 㑇 -> zau³
U+3448: dung{U+00B9} | 㑈 -> dung¹
U+3449: suk{U+00B9} | 㑉 -> suk¹
U+344A: jik{U+2076} | 㑊 -> jik⁶
U+344B: hung{U+00B3} | 㑋 -> hung³
U+344C: hong{U+00B9} | 㑌 -> hong¹
U+344D: loi{U+2076} | 㑍 -> loi⁶
U+344E: nou{U+2075} | 㑎 -> nou⁵
U+344F: cyu{U+2075} | 㑏 -> cyu⁵
U+3450: suk{U+00B9} | 㑐 -> suk¹
U+3451: zat{U+2076} | 㑑 -> zat⁶
U+3452: cim{U+00B9} | 㑒 -> cim¹
U+3453: zeon{U+00B3} | 㑓 -> zeon³
U+3454: seoi{U+00B2} | 㑔 -> seoi²
U+3455: seoi{U+00B3} | 㑕 -> seoi³
U+3456: zung{U+2076} | 㑖 -> zung⁶
U+3457: san{U+00B9} | 㑗 -> san¹
U+3458: gaai{U+00B3} | 㑘 -> gaai³
U+3459: dip{U+00B3} | 㑙 -> dip³
U+345A: naa{U+2075} | 㑚 -> naa⁵
U+345B: suk{U+00B9} | 㑛 -> suk¹
U+345C: jai{U+2076} | 㑜 -> jai⁶
U+345D: lung{U+2076} | 㑝 -> lung⁶
U+345E: jing{U+2076} | 㑞 -> jing⁶
U+345F: bang{U+00B2} | 㑟 -> bang²
U+3460: gin{U+00B9} | 㑠 -> gin¹
U+3461: zik{U+00B9} | 㑡 -> zik¹
U+3462: koek{U+00B3} | 㑢 -> koek³
U+3463: laam{U+2074} | 㑣 -> laam⁴
U+3464: maau{U+2074} | 㑤 -> maau⁴
U+3465: ji{U+2076} | 㑥 -> ji⁶
U+3466: lai{U+2076} | 㑦 -> lai⁶
U+3467: gwai{U+00B3} | 㑧 -> gwai³
U+3468: jyu{U+2075} | 㑨 -> jyu⁵
U+3469: lo{U+2074} | 㑩 -> lo⁴
U+346A: caai{U+2074} | 㑪 -> caai⁴
U+346B: nim{U+2076} | 㑫 -> nim⁶
U+346C: gu{U+00B9} | 㑬 -> gu¹
U+346D: bei{U+00B2} | 㑭 -> bei²
U+346E: wan{U+2074} | 㑮 -> wan⁴
U+346F: seoi{U+00B2} | 㑯 -> seoi²
U+3470: fui{U+00B3} | 㑰 -> fui³
U+3471: jiu{U+2075} | 㑱 -> jiu⁵
U+3472: naam{U+2074} | 㑲 -> naam⁴
U+3473: zau{U+00B3} | 㑳 -> zau³
U+3474: cam{U+00B9} | 㑴 -> cam¹
U+3475: zat{U+2076} | 㑵 -> zat⁶
U+3476: hei{U+00B3} | 㑶 -> hei³
U+3477: taai{U+00B3} | 㑷 -> taai³
U+3478: jiu{U+2074} | 㑸 -> jiu⁴
U+3479: wui{U+2076} | 㑹 -> wui⁶
U+347A: zeon{U+00B3} | 㑺 -> zeon³
U+347B: maat{U+00B3} | 㑻 -> maat³
U+347C: loek{U+2076} | 㑼 -> loek⁶
U+347D: tong{U+2074} | 㑽 -> tong⁴
U+347E: jiu{U+2074} | 㑾 -> jiu⁴
U+347F: zaau{U+2076} | 㑿 -> zaau⁶
U+3480: zaak{U+2076} | 㒀 -> zaak⁶
U+3481: jyu{U+2075} | 㒁 -> jyu⁵
U+3482: zoek{U+00B3} | 㒂 -> zoek³
U+3483: ji{U+2076} | 㒃 -> ji⁶
U+3484: jin{U+2075} | 㒄 -> jin⁵
U+3485: kai{U+00B2} | 㒅 -> kai²
U+3486: kap{U+00B9} | 㒆 -> kap¹
U+3487: mou{U+2075} | 㒇 -> mou⁵
U+3488: haam{U+00B3} | 㒈 -> haam³
U+3489: cong{U+00B2} | 㒉 -> cong²
U+348A: saap{U+00B3} | 㒊 -> saap³
U+348B: si{U+00B9} | 㒋 -> si¹
U+348C: king{U+2074} | 㒌 -> king⁴
U+348D: leoi{U+2074} | 㒍 -> leoi⁴
U+348E: saap{U+00B3} | 㒎 -> saap³
U+348F: hon{U+2074} | 㒏 -> hon⁴
U+3490: seon{U+00B2} | 㒐 -> seon²
U+3491: fui{U+00B2} | 㒑 -> fui²
U+3492: buk{U+2076} | 㒒 -> buk⁶
U+3493: taat{U+00B3} | 㒓 -> taat³
U+3494: suk{U+2076} | 㒔 -> suk⁶
U+3495: ong{U+00B9} | 㒕 -> ong¹
U+3496: ngau{U+2075} | 㒖 -> ngau⁵
U+3497: toi{U+2074} | 㒗 -> toi⁴
U+3498: syu{U+2076} | 㒘 -> syu⁶
U+3499: min{U+2074} | 㒙 -> min⁴
U+349A: jan{U+00B3} | 㒚 -> jan³
U+349B: tiu{U+2075} | 㒛 -> tiu⁵
U+349C: jyu{U+2075} | 㒜 -> jyu⁵
U+349D: mit{U+2076} | 㒝 -> mit⁶
U+349E: wai{U+2076} | 㒞 -> wai⁶
U+349F: niu{U+2075} | 㒟 -> niu⁵
U+34A0: haai{U+2076} | 㒠 -> haai⁶
U+34A1: jau{U+2074} | 㒡 -> jau⁴
U+34A2: joek{U+2076} | 㒢 -> joek⁶
U+34A3: jing{U+00B3} | 㒣 -> jing³
U+34A4: cip{U+00B3} | 㒤 -> cip³
U+34A5: fung{U+00B9} | 㒥 -> fung¹
U+34A6: leoi{U+2075} | 㒦 -> leoi⁵
U+34A7: lai{U+2076} | 㒧 -> lai⁶
U+34A8: sin{U+00B9} | 㒨 -> sin¹
U+34A9: lo{U+00B2} | 㒩 -> lo²
U+34AA: sek{U+00B3} | 㒪 -> sek³
U+34AB: gei{U+00B3} | 㒫 -> gei³
U+34AC: wong{U+00B9} | 㒬 -> wong¹
U+34AD: kwan{U+00B9} | 㒭 -> kwan¹
U+34AE: fui{U+00B9} | 㒮 -> fui¹
U+34AF: jip{U+2076} | 㒯 -> jip⁶
U+34B0: cyun{U+2074} | 㒰 -> cyun⁴
U+34B1: zik{U+2076} | 㒱 -> zik⁶
U+34B2: coi{U+2074} | 㒲 -> coi⁴
U+34B3: loeng{U+2075} | 㒳 -> loeng⁵
U+34B4: gwat{U+00B9} | 㒴 -> gwat¹
U+34B5: maau{U+2076} | 㒵 -> maau⁶
U+34B6: gung{U+00B9} | 㒶 -> gung¹
U+34B7: hing{U+00B9} | 㒷 -> hing¹
U+34B8: seoi{U+2076} | 㒸 -> seoi⁶
U+34B9: din{U+00B9} | 㒹 -> din¹
U+34BA: mong{U+2075} | 㒺 -> mong⁵
U+34BB: mou{U+2076} | 㒻 -> mou⁶
U+34BC: mun{U+2074} | 㒼 -> mun⁴
U+34BD: hyun{U+00B9} | 㒽 -> hyun¹
U+34BE: ci{U+00B3} | 㒾 -> ci³
U+34BF: lei{U+2074} | 㒿 -> lei⁴
U+34C0: buk{U+00B9} | 㓀 -> buk¹
U+34C1: mong{U+2075} | 㓁 -> mong⁵
U+34C2: kau{U+00B3} | 㓂 -> kau³
U+34C3: dou{U+00B3} | 㓃 -> dou³
U+34C4: zam{U+00B3} | 㓄 -> zam³
U+34C5: ting{U+00B9} | 㓅 -> ting¹
U+34C6: leon{U+2074} | 㓆 -> leon⁴
U+34C7: juk{U+00B9} | 㓇 -> juk¹
U+34C8: bing{U+00B3} | 㓈 -> bing³
U+34C9: wut{U+2076} | 㓉 -> wut⁶
U+34CA: dung{U+2076} | 㓊 -> dung⁶
U+34CB: gung{U+2076} | 㓋 -> gung⁶
U+34CC: cang{U+00B9} | 㓌 -> cang¹
U+34CD: cung{U+00B9} | 㓍 -> cung¹
U+34CE: cam{U+00B9} | 㓎 -> cam¹
U+34CF: gwing{U+00B2} | 㓏 -> gwing²
